aX;aY;aZ;gX;gY;gZ
-1.114;0.389;-1.374;-254.517;104.004;64.026
-0.920;0.530;-2.250;-299.438;132.202;96.130
-0.678;0.755;-3.095;-362.061;134.888;125.000
-0.511;0.854;-3.696;-428.345;101.013;139.404
-0.543;0.841;-4.000;-448.730;43.335;142.822
-0.770;0.843;-4.000;-420.532;-22.156;144.653
-1.055;0.848;-3.711;-321.716;-73.853;144.104
-1.137;0.691;-3.211;-171.387;-115.356;119.934
-1.379;0.550;-2.584;-1.587;-161.499;81.177
-1.468;0.374;-1.904;141.235;-197.815;58.960
-1.458;0.194;-1.442;234.070;-211.792;53.528
-1.500;0.081;-1.291;267.395;-206.543;61.340
-1.588;0.120;-1.294;228.516;-190.613;78.003
-1.634;0.250;-1.344;149.536;-177.124;90.637
-1.641;0.319;-1.310;96.619;-180.115;84.290
-1.592;0.304;-1.133;98.389;-197.327;62.744
-1.497;0.284;-0.825;136.108;-215.271;34.729
-1.338;0.236;-0.435;190.491;-224.792;6.958
-1.119;0.127;-0.130;249.023;-225.037;-15.625
-0.817;0.034;0.147;297.607;-201.599;-32.593
-0.515;0.030;0.393;320.679;-161.316;-41.260
-0.314;0.148;0.562;304.443;-120.422;-39.673
-0.154;0.231;0.694;275.574;-86.487;-33.264
-0.037;0.216;0.832;244.385;-58.899;-34.363
-0.086;0.144;1.031;199.280;-32.776;-49.377
-0.093;-0.013;1.209;167.480;-3.113;-64.453
-0.159;-0.307;1.259;168.701;33.020;-79.102
-0.196;-0.868;0.936;170.837;60.669;-94.360
-0.044;-1.493;0.575;122.681;54.993;-106.140
-0.007;-1.871;0.639;15.991;-14.099;-125.122
-0.242;-1.968;1.155;-87.097;-125.916;-142.883
-0.123;-2.330;1.561;-136.169;-215.088;-143.433
0.289;-3.159;2.168;-132.324;-211.792;-124.695
0.343;-3.878;3.132;-36.377;-100.159;-81.726
0.594;-4.000;3.488;181.091;97.046;-23.010
0.959;-4.000;3.064;384.460;269.531;10.071
1.099;-4.000;2.739;411.255;314.758;1.038
1.094;-4.000;2.530;294.556;234.619;-16.846
1.022;-4.000;2.527;144.653;93.628;-19.592
0.885;-4.000;2.903;25.024;-45.349;-2.319
0.633;-4.000;3.476;-17.456;-127.625;15.381
0.338;-4.000;4.000;-1.526;-147.461;28.748
0.043;-3.860;4.000;19.287;-124.756;45.532
-0.282;-3.333;4.000;41.321;-85.144;62.988
-0.616;-2.790;4.000;58.472;-51.025;74.646
-0.953;-2.310;4.000;37.598;-24.109;58.167
-0.820;-2.341;3.976;-2.319;-20.569;42.664
-0.649;-2.435;3.805;-32.715;-9.460;33.203
-0.495;-2.502;3.576;-33.081;14.404;28.931
-0.345;-2.576;3.262;-16.174;48.828;27.954
-0.170;-2.590;2.804;4.639;85.083;31.311
-0.028;-2.636;2.312;18.005;111.267;27.588
0.133;-2.684;1.835;6.836;130.066;17.517
0.276;-2.767;1.412;-19.958;141.235;6.592
0.519;-2.842;1.001;-50.354;151.978;7.751
0.711;-2.874;0.686;-76.538;152.832;16.418
0.761;-2.847;0.348;-82.642;151.855;35.645
0.676;-2.718;0.030;-68.298;155.212;67.749
0.463;-2.476;-0.288;-37.537;166.687;110.718
0.151;-2.126;-0.560;-11.780;182.922;160.339
-0.154;-1.799;-0.709;-38.147;203.613;210.205
-0.380;-1.425;-0.756;-129.761;234.680;253.113
