aX;aY;aZ;gX;gY;gZ
-0.841;-0.289;2.749;-178.406;334.961;-54.382
-1.137;-0.727;2.641;-156.799;343.811;-70.251
-1.479;-1.072;2.192;-108.826;357.910;-83.618
-1.798;-1.181;1.472;-76.416;372.742;-89.417
-1.992;-1.148;0.731;-75.806;373.413;-91.431
-2.140;-1.003;0.101;-84.595;348.145;-90.271
-2.293;-0.710;-0.424;-89.172;304.443;-81.848
-2.349;-0.454;-0.950;-100.647;255.798;-74.524
-2.299;-0.315;-1.377;-124.756;204.590;-66.101
-2.246;-0.191;-1.763;-148.682;147.400;-45.166
-2.152;-0.097;-2.139;-188.232;87.036;-17.944
-2.087;0.036;-2.354;-247.986;17.273;6.592
-2.125;0.077;-2.527;-296.631;-55.359;23.010
-2.166;-0.014;-2.653;-316.345;-127.502;25.024
-2.290;-0.257;-2.748;-298.706;-195.190;15.503
-2.375;-0.753;-2.893;-248.779;-257.568;-3.296
-2.431;-1.226;-2.969;-192.932;-318.115;-18.860
-2.434;-1.545;-2.864;-144.714;-381.287;-20.996
-2.219;-2.048;-2.526;-101.196;-444.397;-19.470
-1.872;-2.587;-2.134;-55.298;-493.408;-17.578
-1.384;-3.196;-1.603;-0.916;-521.729;-26.672
-0.707;-3.830;-0.853;77.820;-527.527;-49.133
0.184;-4.000;-0.041;157.288;-509.399;-73.914
0.971;-4.000;0.782;228.638;-483.643;-81.787
1.674;-4.000;1.529;281.189;-449.280;-54.993
2.286;-4.000;2.391;285.583;-426.880;15.564
2.692;-4.000;3.980;212.585;-435.608;141.357
3.020;-3.036;4.000;82.214;-429.687;292.114
3.174;-0.216;4.000;17.517;-349.426;408.691
3.233;2.062;4.000;32.410;-201.599;454.895
3.028;3.049;4.000;87.219;-47.302;408.630
2.577;3.348;4.000;149.658;76.782;333.069
2.008;3.230;4.000;180.054;161.438;279.663
1.518;2.989;4.000;146.423;207.520;257.874
1.015;3.168;3.310;80.383;236.267;260.254
0.644;3.502;2.681;-14.282;250.549;268.127
0.420;3.771;2.288;-118.530;253.784;258.850
0.255;3.843;1.934;-189.819;260.132;225.769
0.132;3.719;1.555;-225.220;269.043;170.349
0.036;3.344;1.394;-233.826;270.203;102.051
-0.043;2.759;1.469;-217.773;259.521;37.231
-0.128;2.120;1.554;-202.026;247.498;-11.658
-0.230;1.523;1.743;-193.542;240.845;-42.786
-0.406;0.989;1.959;-193.909;226.929;-61.157
-0.566;0.694;2.096;-203.613;223.083;-69.336
-0.842;0.530;2.100;-216.736;218.018;-67.932
-1.172;0.345;2.142;-219.727;209.961;-72.327
-1.529;0.210;2.076;-225.830;205.566;-92.957
-1.880;-0.051;1.711;-229.126;205.811;-125.793
-2.113;-0.263;1.109;-207.703;211.609;-158.447
-2.244;-0.454;0.417;-160.950;203.003;-183.228
-2.605;-0.593;-0.517;-115.295;174.072;-193.359
-2.360;-0.969;-1.169;-130.127;122.742;-205.627
-1.540;-1.498;-1.172;-153.137;41.321;-203.552
-1.963;-1.179;-1.187;-119.507;-44.373;-122.864
-2.160;-0.390;-1.174;-170.105;-103.027;-37.292
-1.908;-0.149;-0.572;-334.839;-200.623;-31.555
-1.882;-0.474;-0.764;-315.552;-227.173;-52.429
-1.911;-1.147;-1.187;-261.963;-245.239;-81.055
-1.892;-2.114;-1.821;-191.956;-276.306;-95.642
-1.868;-3.141;-2.374;-144.409;-318.115;-79.346
-1.792;-3.961;-2.302;-115.173;-377.380;-37.781
-1.634;-4.000;-1.677;-93.445;-436.462;9.155
-1.326;-4.000;-1.078;-55.725;-473.572;46.936
-0.945;-4.000;-0.504;4.639;-482.605;76.111
-0.470;-4.000;0.176;88.806;-473.694;97.290
0.168;-4.000;1.046;198.730;-447.754;106.140
0.865;-4.000;1.907;317.505;-418.518;107.361
1.468;-4.000;2.631;405.579;-396.729;117.554
2.030;-4.000;3.460;411.438;-387.207;159.607
2.494;-3.560;4.000;304.626;-384.033;252.380
2.775;-1.679;4.000;171.631;-353.638;364.197
2.944;0.138;4.000;102.051;-263.672;431.274
2.859;1.180;4.000;114.685;-148.193;441.406
2.462;1.545;4.000;169.556;-35.339;417.725
1.898;1.830;4.000;207.397;53.955;394.714
1.317;2.150;4.000;204.102;104.248;394.653
0.737;2.517;3.616;151.306;125.305;406.372
0.219;2.880;2.896;86.548;132.507;409.546
-0.162;3.104;2.468;19.348;127.075;402.222
-0.382;3.584;2.650;-53.955;114.014;385.437
-0.578;4.000;3.085;-130.005;116.943;349.243
-0.625;4.000;3.003;-182.617;152.954;273.560
-0.789;4.000;2.606;-174.438;198.792;152.222
-0.647;4.000;2.481;-152.771;227.112;31.311
-0.721;3.381;2.468;-143.066;241.455;-66.833
-0.959;2.586;2.505;-132.263;245.056;-117.188
-1.144;2.152;2.709;-157.227;239.380;-126.587
-1.318;1.752;3.042;-188.293;230.530;-128.296
-1.551;1.305;3.207;-207.764;232.056;-137.268
-1.758;0.930;3.173;-216.309;237.122;-148.071
-1.874;0.663;3.027;-225.464;238.892;-161.926
-1.978;0.324;2.792;-239.807;231.689;-183.472
-1.976;-0.018;2.470;-255.859;226.990;-203.247
-1.856;-0.290;2.162;-253.540;220.032;-215.881
-1.750;-0.589;1.856;-211.487;210.999;-225.708
-1.705;-0.796;1.469;-157.166;205.688;-232.056
-1.669;-0.981;1.018;-107.361;204.651;-242.798
-1.534;-1.157;0.507;-63.721;202.576;-252.258
-1.201;-1.307;0.053;-40.100;193.115;-249.573
-1.011;-1.397;-0.243;-25.696;169.067;-228.638
-1.121;-1.229;-0.425;-36.743;139.526;-195.068
-1.175;-1.156;-0.343;-74.280;109.131;-171.082
-1.253;-1.275;-0.327;-126.343;84.839;-148.621
-1.314;-1.332;-0.381;-229.919;66.040;-110.046
-1.359;-1.385;-0.616;-372.070;47.729;-69.580
-1.394;-1.665;-1.093;-491.516;26.611;-36.011
-1.300;-1.999;-1.720;-569.031;-4.517;-4.822
-1.481;-2.375;-2.592;-568.298;-48.157;28.015
-1.509;-2.714;-3.435;-527.222;-107.971;59.448
-1.531;-3.057;-3.917;-454.712;-191.345;77.820
-1.572;-3.474;-3.956;-324.463;-281.189;82.397
-1.525;-3.904;-3.521;-165.588;-364.380;67.017
-1.441;-4.000;-2.899;-2.380;-425.232;31.982
-1.192;-4.000;-2.480;130.859;-457.703;0.916
-0.894;-4.000;-1.924;197.083;-476.074;-2.319
-0.314;-4.000;-1.006;221.680;-487.061;20.813
0.246;-4.000;-0.064;257.812;-485.107;65.125
0.576;-4.000;0.873;303.040;-479.370;134.094
0.728;-4.000;1.658;349.976;-466.858;215.698
0.385;-4.000;2.433;369.690;-455.994;317.993
0.013;-3.997;3.934;321.594;-447.388;429.932
0.213;-2.875;4.000;243.286;-431.030;498.230
0.378;-1.245;4.000;180.847;-386.292;541.687
0.441;0.866;4.000;120.117;-286.804;597.900
0.506;2.299;4.000;128.296;-132.874;601.379
0.499;2.570;4.000;212.769;14.404;530.823
0.336;2.408;4.000;283.691;94.421;453.003
0.084;2.340;4.000;277.405;130.493;420.166
-0.138;2.457;4.000;191.467;157.288;418.396
-0.298;2.964;4.000;75.806;180.115;428.467
-0.426;3.765;3.769;-48.340;196.960;434.021
-0.538;4.000;3.369;-157.349;210.815;416.626
-0.564;4.000;2.966;-227.539;225.891;362.732
-0.582;4.000;2.752;-269.409;242.371;274.109
-0.677;4.000;2.725;-282.654;258.057;162.170
-0.746;3.831;2.627;-286.194;271.851;46.326
-0.755;2.837;2.682;-301.758;270.996;-48.950
-0.821;2.034;2.967;-319.885;257.202;-108.398
-0.979;1.402;3.276;-326.233;241.943;-141.418
-1.228;0.927;3.494;-334.351;243.652;-160.278
-1.561;0.620;3.568;-334.290;258.423;-175.903
-1.930;0.360;3.536;-331.055;271.606;-197.632
-2.301;0.043;3.496;-327.209;274.841;-232.605
-2.681;-0.261;3.244;-300.598;277.344;-280.701
-3.019;-0.884;2.586;-237.061;286.377;-336.853
-3.119;-1.902;1.607;-148.560;287.354;-374.451
-2.914;-2.804;0.449;-64.392;277.100;-358.521
-2.608;-3.054;-0.464;-45.288;239.563;-271.912
-2.417;-2.635;-0.933;-108.093;177.002;-149.109
-2.302;-2.079;-1.240;-192.932;103.516;-51.025
-2.238;-1.589;-1.502;-274.414;28.870;4.700
