aX;aY;aZ;gX;gY;gZ
-0.731;-0.719;0.727;-4.822;-185.913;-0.244
-0.634;-0.669;0.747;-1.343;-158.875;-15.503
-0.454;-0.718;0.880;22.949;-133.911;-48.828
-0.102;-0.763;1.089;44.739;-112.671;-82.214
0.285;-0.881;1.537;61.768;-99.670;-103.149
0.749;-1.101;2.166;62.805;-98.877;-108.276
1.178;-1.269;2.934;44.250;-103.394;-101.196
1.598;-1.325;3.627;23.376;-94.299;-88.867
1.948;-1.257;4.000;3.662;-69.702;-74.280
2.079;-1.165;4.000;-11.230;-40.344;-54.443
2.068;-1.097;4.000;-26.367;-1.038;-33.936
1.740;-1.114;4.000;-30.090;41.992;-14.526
2.625;-0.951;3.703;81.238;128.052;-14.526
1.362;-0.641;3.162;49.255;116.699;-26.367
1.518;-1.169;3.091;-205.078;134.888;4.028
1.394;-1.139;2.515;-124.084;126.038;58.960
1.003;-0.541;2.921;-74.707;89.294;80.383
0.931;-0.568;2.679;-135.254;93.323;61.584
0.775;-0.682;2.328;-137.268;116.455;41.565
0.658;-0.661;2.089;-119.934;122.803;17.029
0.602;-0.782;1.776;-97.290;139.648;-11.841
0.533;-0.920;1.440;-79.895;158.447;-34.973
0.435;-0.961;1.146;-83.679;168.030;-39.307
0.329;-0.961;0.896;-87.097;176.575;-30.579
0.167;-0.946;0.565;-67.017;182.861;-18.677
0.047;-0.964;0.346;-28.625;184.570;-14.221
-0.083;-0.962;0.244;-17.456;176.636;-13.916
-0.168;-0.952;0.135;-21.423;171.875;-24.963
-0.259;-0.964;0.035;-22.034;168.762;-36.316
-0.322;-0.915;-0.041;-30.518;165.833;-42.786
-0.378;-0.904;-0.075;-39.917;163.635;-42.480
-0.419;-0.895;-0.132;-48.035;161.926;-40.649
-0.453;-0.867;-0.182;-54.565;161.621;-36.621
-0.548;-0.762;-0.258;-51.575;163.025;-27.527
-0.626;-0.680;-0.379;-44.434;169.434;-23.071
-0.667;-0.750;-0.500;-41.016;172.363;-21.057
-0.797;-0.843;-0.631;-39.856;164.612;-12.634
-0.840;-0.788;-0.772;-42.969;164.795;-5.249
-0.828;-0.669;-0.840;-52.002;172.607;-3.845
-0.805;-0.549;-0.900;-64.270;175.354;-3.662
-0.717;-0.444;-0.906;-66.711;176.636;-7.324
-0.602;-0.395;-0.839;-67.871;172.302;-10.132
-0.505;-0.289;-0.710;-84.961;159.668;-4.395
-0.488;-0.184;-0.632;-92.468;151.184;5.798
-0.590;-0.078;-0.709;-106.567;144.043;28.809
-0.725;0.016;-0.770;-151.367;129.517;59.692
-1.023;0.255;-0.803;-205.017;112.366;84.290
-1.087;0.453;-1.060;-254.395;106.262;79.163
-0.907;0.550;-1.399;-310.486;137.573;-8.972
-0.724;0.274;-1.960;-305.786;146.301;-68.726
-0.666;-0.185;-2.693;-266.418;138.855;-110.901
-0.715;-0.822;-3.958;-200.378;139.832;-130.920
-0.400;-1.254;-4.000;-190.918;224.182;-146.362
-0.063;-2.029;-4.000;-180.969;211.304;-138.000
0.461;-2.540;-4.000;-86.975;168.457;-109.741
0.729;-2.439;-4.000;-36.072;133.301;-81.299
0.871;-2.293;-4.000;82.092;81.970;-57.556
0.973;-1.878;-4.000;130.493;-2.808;-27.100
1.003;-1.558;-4.000;132.690;-88.379;-0.732
0.964;-1.485;-4.000;138.733;-158.081;12.878
0.800;-1.458;-3.435;143.921;-196.472;23.193
0.573;-1.388;-3.089;150.574;-207.703;30.029
0.305;-1.429;-3.041;163.818;-214.172;26.001
0.012;-1.613;-3.217;170.898;-225.891;19.714
-0.211;-1.871;-3.119;165.649;-257.202;18.860
-0.425;-2.021;-2.758;150.574;-301.697;26.855
-0.596;-2.103;-2.210;128.174;-343.750;40.527
-0.680;-2.159;-1.733;108.704;-370.056;55.115
-0.745;-2.127;-1.314;102.966;-381.775;73.853
-0.801;-2.031;-0.926;107.727;-383.789;90.088
-0.824;-1.972;-0.594;119.446;-376.038;100.586
-0.853;-1.868;-0.359;133.606;-361.267;108.521
-0.891;-1.694;-0.221;138.611;-345.093;114.929
-0.927;-1.536;-0.125;125.061;-334.045;120.239
-0.919;-1.415;-0.106;93.262;-329.651;126.038
-0.902;-1.328;-0.068;52.368;-332.581;134.521
-0.831;-1.289;0.058;7.507;-336.121;146.729
-0.761;-1.243;0.277;-26.428;-332.520;164.124
-0.681;-1.125;0.541;-32.593;-312.683;181.396
-0.622;-1.005;0.681;-3.296;-277.222;190.674
-0.594;-0.816;0.741;40.283;-233.765;188.782
-0.606;-0.580;0.730;85.693;-190.369;174.683
-0.671;-0.311;0.732;122.253;-151.428;151.123
-0.690;-0.092;0.692;153.198;-118.103;119.202
-0.734;0.053;0.569;185.608;-89.539;77.637
-0.730;0.137;0.444;203.796;-71.045;34.302
-0.603;0.173;0.582;196.899;-63.171;-4.456
-0.368;-0.042;1.037;182.251;-64.331;-34.851
-0.078;-0.364;1.583;159.912;-63.782;-53.040
0.214;-0.571;2.023;140.686;-57.068;-55.603
0.413;-0.597;2.508;137.024;-47.058;-51.514
0.566;-0.465;2.764;122.314;-37.903;-44.495
0.737;-0.432;3.044;90.088;-28.320;-40.527
0.904;-0.500;3.426;58.167;-10.925;-46.082
1.170;-0.570;3.894;34.729;17.883;-42.786
1.251;-0.752;4.000;-1.282;17.456;-18.127
1.292;-0.861;4.000;-32.349;40.466;-8.362
1.229;-0.960;3.859;-37.170;85.510;-4.272
1.153;-1.008;3.433;-48.157;118.225;-0.366
1.105;-1.075;3.004;-58.533;136.353;8.606
1.013;-1.013;2.655;-73.853;142.578;21.057
0.915;-0.915;2.353;-96.130;144.043;33.752
0.835;-0.862;2.144;-117.249;143.555;39.001
0.777;-0.863;1.917;-122.131;146.973;36.316
0.717;-0.871;1.637;-111.206;156.921;28.503
0.641;-0.875;1.377;-88.684;166.565;19.348
0.588;-0.920;1.147;-63.416;169.861;12.268
0.519;-0.930;0.988;-50.720;167.297;13.977
0.429;-0.936;0.793;-50.537;164.001;21.667
0.351;-0.922;0.582;-59.448;161.499;29.419
0.270;-0.912;0.378;-73.608;158.020;33.691
0.147;-0.868;0.240;-86.548;152.527;36.316
0.121;-0.827;0.111;-99.854;150.330;35.461
0.047;-0.827;-0.003;-111.755;145.752;29.602
0.007;-0.870;-0.113;-122.803;143.799;21.179
0.002;-0.910;-0.262;-125.793;144.104;12.695
-0.003;-0.895;-0.371;-124.084;143.127;6.958
-0.040;-0.840;-0.437;-125.305;135.254;4.395
-0.107;-0.758;-0.459;-135.681;122.559;3.418
-0.173;-0.669;-0.446;-152.039;115.234;-0.549
-0.217;-0.631;-0.477;-158.752;115.479;-11.353
-0.199;-0.630;-0.544;-157.959;119.873;-25.574
-0.242;-0.647;-0.611;-158.936;121.826;-33.569
-0.336;-0.630;-0.697;-163.208;121.155;-33.142
